Artist;Titel;Anm;LP-nr;Pris
Weather Report;Heavy Weather;VG/VG-NM;LP 1239;120
Weather Report;Night Passage;VG/VG-NM;LP 1240;120
Tower of Power;Ain´t Nothin´ Stoppin´ Us Now;G-VG/VG;LP 1242;120
Tower of Power;We came to play;VG/VG-NM;LP 1243;120
Chicago;Chicago 16;VG/VG-NM;LP 1244;90
Chicago;Chicago 17;VG/VG-NM;LP 1245;90
Vio-lence;Eternal Nightmare;VG/VG-NM;LP 1246;950
ZZ Top;Eliminator;VG/VG;LP 1249;50
Ratt;Detonator;G-VG/VG-NM;LP 1250;590
Alien;Shiftin´Gear;VG/VG;LP 1252;90
Vinnie Moore;Time Odyssey;VG/VG;LP 1253;90
Jesus Christ Superstar;Original Recording;VG/VG;LLP1256;90
Humble Pie;The Crust of;VG/VG-NM;LLP1257;120
Genesis;Selling England by the pound;NM/VG-NM;LP 1260;250
Sir Lord Baltimore;Kingdom Come;VG-NM/NM;LP 1261;950
Genesis;Invisible Touch;VG/VG;LP 1262;150
Various artists;Harvest Special;VG/VG;LP 1263;90
Kate Bush;The Sensual World;VG-NM/VG-NM;LP 1267;150
King Crimson;USA;NM/NM    (1st press);LP 1273;700
Camel;The Snow Goose;VG/NM    (1st press);LP 1274;280
Camel;Mirage ;VG-NM/NM;LP 1275;480
Diana Ross;Everything is everything;NM/NM;LP 1276;90
Jimi Hendrix;Hendrix in the west;VG-NM/NM;LP 1277;220
Johnny Winter;Captured Live;NM/NM;LP 1278;120
Genesis ;Live;NM/NM;LP 1279;150
Rolling Stones;No Stone unturned;VG/VG;LP 1281;220
Frank Zappa;Sleep Dirt;VG/VG;LP 1282;180
Zappa / Beefheart / Mothers;Bongo Fury;VG-NM/VG-NM;LP 1285;280
Mothers;Just another band from LA;VG-NM/VG;LP 1288;180
Zappa/Mothers;Roxy & Elsewhere;VG-NM/VG-NM;LP 1289;220
HammerFall;Dominion;VG/VG;LP 1290;250
Yes;Tormato;NM/VG-NM;LP 1291;120
Leonard Cohen;Greatest Hits;VG-NM/VG-NM;LP 1294;120
Peter Gabriel;So;VG/VG;LP 1295;120
Sinead O´Connor;I do not want what I haven´t got;VG/VG;LP 1296;90
Pretenders;Learning to crawl;VG/VG;LP 1297;50
R.E.M.;Document;VG/VG;LP 1298;180
Kim Larsen;Jungle Dreams ;NM/NM;LP 1302;180
Electric Light Orchestra;A new world record;NM/NM;LP 1303;180
Traveling Wilburys;Volume one;VG-NM/VG-NM;LP 1306;180
Earth, Wind & Fire;That’s the way of the world;VG/VG;LP 1307;150
Bo Diddley;Bo Diddley;VG/VG;LP 1308;150
Lou Reed;Live;VG/VG;LP 1309;120
Madness;Absolutely;G-VG/VG;LP 1310;90
David Bowie;Aladdin Sane;VG/VG(Lyrics poor);LP 1312;180
ASIA;Alpha;G-VG/VG;LP 1313;90
Janet Jackson;Control;VG/VG;LP 1314;50
Janet Jackson;Rhythm Nation;VG-NM/VG-NM;LP 1315;90
Journey;ESC4P3;VG/VG;LP 1316;180
Journey;Raised on radio;VG/VG;LP 1317;90
Roxy Music;Greatest Hits;VG/VG;LP 1318;50
Beastie Boys;Licenced to Ill;VG/VG;LP 1319;250
Saints;Eternally Yours;VG-NM/VG-NM;LP 1320;280
R.E.M;Out of time;VG/VG;LP 1321;180
R.E.M;Murmur;VG/VG;LP 1322;300
Ananta;Night and Daydream;VG/VG;LLP 1323;50
Impressions ;Its about time;Sealed;LLP 1324;90
Ron Banks And The Dramatics;The Dramatic Jackpot;Sealed;LLP 1325;50
;;;;
Canned Heat;Cook Book, The Best of ;VG-NM/VG-NM;LP 1326;90
Fabulous Thunderbirds;Hot Number;NM/NM;LP 1328;90
R.E.M.;Lifes Rich Pageant;VG/G-VG;LP 1329;120
Fabulous Thunderbirds;T-Bird Rhythm;VG-NM/VG;LP 1330;90
Aerosmith;Done With Mirrors;VG/G-VG;LP 1331;50
Cramps;Bad music for bad people;NM/NM;LP 1332;390
Eddie Cochran;C`mon everybody;VG-NM/VG-NM;LP 1334;50
Skid Row;Skid Row;VG-NM/VG-NM;LP 1335;280
ZZ Top;Afterburner;VG/VG;LP 1336;90
Viva;What the Hell is going on!;VG/G-VG;LP 1337;90
Yngwie J. Malmsteen´s Rising Force;Marching out;VG/VG;LP 1338;120
Kizz;Dynasty;VG/VG;LP 1339;120
Peter Gabriel;Peter Gabriel (1977);NM/NM;LP 1340;180
Peter Gabriel;Peter Gabriel (1978);NM/NM;LP 1341;180
Beatles;Hamburg tapes Volume 1;VG/VG;LP 1342;180
Beatles;Hamburg tapes Volume 3;VG-NM/VG-NM;LP 1343;220
Beatles;The Beatles in Hamburg;NM/NM;LP 1344;220
Uriah Heep;Demons and Wizards;VG/VG;LP 1346;150
Uriah Heep;The Magicians Birthday;VG/VG;LP 1347;120
ZZ Top ;Recycler;VG-NM/NM;LP 1348;180
David Lee Roth;A little ain´t enough;G-VG/VG;LP 1349;150
Backdraft;This Heaven goes to Eleven;VG-NM/NM;LP 1350;180
FM;Indiscreet;VG/VG-NM;LP 1351;120
Electric Light Orchestra;Time;G-VG/G-VG;LP 1352;90
Various artist;Prince New Power Generation;VG/NM;LP 1354;700
Prince;Small Club;G-VG/VG-NM;LP 1355;700
Prince;Just my imagination;VG-NM/VG-NM;LP 1356;400
Prince;He´s got the look;VG-NM/VG-NM;LP 1357;400
Tom Petty;“Let me up…”;VG/VG;LP 1358;120
Beatles;The Beatles 1967-1970;G-VG/G-VG;LP 1359;180
Tom Petty;Southern Accents;VG-NM/VG;LP 1360;150
Bob Dylan;Slow train coming;VG/VG;LP 1361;90
Tom Petty;Hard Promises;VG/VG;LP 1362;150
J.J. Cale;Okie;G-VG/VG-NM;LP 1363;120
J.J. Cale;5;VG/VG;LP 1364;120
J.J. Cale;Shades;G/VG;LP 1365;90
J.J. Cale;Grasshopper;G-VG/VG;LP 1366;90
J.J. Cale;Really;VG/VG;LP 1367;90
Don McLean;American Pie;VG/VG-NM;LP 1368;150
John Lennon/Plastic Ono Band;John Lennon/Plastic Ono Band;VG/VG-NM;LP 1369;220
Yoko Ono;Season of Glass;VG/VG-NM;LP 1371;90
George Harrison;George Harrison;VG/VG;LP 1373;120
George Harrison;Dark Horse;VG-NM/VG-NM;LP 1374;180
George Harrison;All things must pass;VG/NM;LP 1375;280
Fleetwood Mac;The Collection;VG/G-VG;LP 1376;90
Aerosmith;Pump;VG/VG-NM;LP 1377;150
Saxon;Crusader;VG/VG;LP 1378;90
Deep Purple;the NOW What?! Live Tapes;VG-NM/VG;LP 1379;180
Blue Öyster Cult;Agents of fortune;VG/VG;LP 1380;180
Ace Frehley;Frehley´s Comet;NM/NM;LP 1381;220
Frank Marino;Mahogany Rush Live;VG/VG-NM;LP 1382;90
TNT;Tell No Tales;VG/VG;LP 1383;120
Led Zeppelin;Paris Studios 1971;VG-NM/VG-NM;LP 1384;500
Dire Straits;Communicè;VG/NM;LP 1385;150
Zeus B. Held;Zeus Amusement;VG/VG-NM;LP 1387;180
Elton John;Here and There ;VG/VG-NM;LP 1388;90
Kokomo;Kokomo;VG/VG;LP 1389;90
Elvis Presley;Rock´n Roll;VG/VG;LP 1390;50
Disneyland after Dark;Call of the wild;VG/VG;LP 1391;220
Link Wray & the Raymen;There´s good rockin` Tonite;VG/VG;LP 1392;180
Link Wray;Live in `85;VG/VG-NM;LP 1393;150
Flying Burrito Bros;Burrito Deluxe;VG-NM/VG-NM;LP 1394;120
Pixies;Bossanova;VG-NM/VG-NM;LP 1395;280
Blondie;Autoamerican;G-VG/VG-NM;LP 1396;50
Cado Belle;Cado Belle;VG-NM/VG-NM;LP 1397;50
Love and Kisses;Love and Kisses;VG-NM/VG-NM;LP 1398;90
Sweet;Desolation Boulevard;VG/VG;LP 1399;180
Billy Joel;Streetlife serenade;VG/VG-NM;LP 1400;50
Van Morrison;A period of transition;VG/VG;LP 1401;90
The Red Crayola* With TFU;The Parable Of Arable Land;VG/VG;LP 1402;390
;;;;
Suzanne Vega;Days of open Hand;VG/VG-NM;LP 1403;120
Lighthouse;Peacing it all together;VG/VG-NM;LP 1404;50
Joni Mitchell;Wild things run fast;VG/VG-NM;LP 1405;90
Mark Knopfler;Local Hero;VG/VG;LP 1406;120
Bob Dylan & the Band;The Basement tapes;VG-NM/VG-NM;LP 1407;250
Joan Baez;Diamond & Rust;G/VG;LP 1408;50
George Michael;Freedom;VG/NM    “Maxi single 12”;LP 1409;120
Liona Boyd;Persona;VG/VG-NM;LP 1410;90
Police;Synchronicity;VG/VG-NM;LP 1411;150
Buddy Holly & The Crickets;Buddy Holly Lives;VG/VG-NM;LP 1412;50
Prince;Batman;VG/VG;LP 1413;120
Various artists;Carry on Oi!!;VG/VG;LP 1414;120
Jimi Hendrix;The legends of rock;VG/VG-NM;LP 1415;180
Doors;Alive she cried;VG/VG;LP 1416;150
Doors;Live at the Hollywood Bowl;VG/G-VG;LP 1417;90
Stooges;The Stooges;VG-NM/NM;LP 1418;350
Stooges;Fun House;VG/VG;LP 1419;280
Iggy and the Stooges;I´m sick of you;VG-NM/VG-NM;LP 1420;250
Joe Cocker;Luxury you can afford;G-VG/VG;LP 1421;50
Beatles ;Yellow Submarine;G-VG/NM-Mint;LP 1422;250
Bruce Springsteen;Born in the USA;VG-NM/VG-NM;LP 1423;120
Fleetwood Mac;Behind the mask;G-VG/NM;LP 1424;120
Madonna ;Vogue;VG/VG “Maxi single 12”;LP 1425;90
REO Speedwagon;Love as we know it;VG/G-VG;LP 1426;50
Phil Collins;Serious Hits, LIVE;VG/VG;LP 1427;180
Stevie Wonder;Hotter than July;VG/VG;LP 1428;90
Boney M.;Reunion;VG/VG;LP 1429;120
Elvis Presley;A Canadian Tribute;G-VG/G-VG;LP 1430;90
Various artists;After the Hurricane;VG/VG;LP 1431;90
Huey Lewis & the news;Fore!;VG/VG;LP 1432;50
Trashing Doves;Bedrock Vice;G-VG/VG;LP 1433;50
Walter Rossi;Six Strings Nine Lives;VG-NM/VG-NM;LP 1434;120
Boney M;Love for sale;VG/VG;LP 1435;90
Phil Collins;But Seriously;VG-NM/VG-NM;LP 1436;120
Eurythmics;Be Yourself tonight;VG-NM/VG-NM;LP 1437;120
Traveling Wilburys;Vol 3;VG-NM/VG-NM;LP 1438;150
Jackson Browne;Saturete before Using;VG/VG;LP 1439;120
Bob Marley;Keep on moving;VG-NM/VG-NM;LP 1440;120
Black box;Dreamland;VG/VG;LP 1441;120
Maxi priest;Bonafide;VG-NM/VG-NM;LP 1442;90
Art Garfunkel;Lefty;VG/VG-NM;LP 1443;90
Beach Boys;The Beach Boys;VG/VG;LP 1444;50
Rick Danko;Rick Danko;VG-NM/VG-NM;LP 1445;90
Joan Baez;Gulf Winds;VG/VG;LP 1446;90
Fabulous Thunderbirds;Butt Rockin;VG/VG;LP 1447;90
Doors ;13;G-VG/VG;LP 1448;90
Talking Heads;Remain in the light;NM/NM-MINT;LP 1449;180
Beatles ;Rarities;VG/VG;LP 1450;280
Eagles;One of these nights;VG/VG;LP 1451;120
Electric Light Orchestra;Xanadu;VG/VG-NM;LP 1452;180
Yazz;Remixes;VG-NM/NM;LP 1453;120
Mamas and the Papas;The Hit Singles Collection;VG-NM/VG-NM;LP 1454;90
Joan Baez;5;VG-NM/VG-NM;LP 1455;50
Kiss;Unmasked;NM/NM;LP 1456;180
King Crimson;In the Court of King Crimson;NM/NM;LP 1457;690
Various artists;Rock Fury;VG/VG;LP 1458;50
Jackson Browne;Lives in the balance;VG/VG;LP 1459;50
Chicago;V;G/VG;LP 1460;90
Sonics;Here are The Sonics;VG-NM/VG-NM;LP 1461;690
Volbeat;Outlaw Gentlmen & Shady Ladies;NM-Mint;LP 1462;390
Icecube;Wicked;VG/VG;LP 1463;90
Bee Gees;Best of Bee Gees;G-VG/VG   (nytt innerkonvolut);LP 1464;90
Foreigner;4;VG/VG;LP 1465;90
Air Supply;Lost in love;VG/VG;LP 1466;90
Hothouse Flowers;People;VG/VG;LP 1467;50
WHO;Rarities Vol1;VG/VG-NM;LP 1468;120
Jules Shear;The eternal return;VG/VG;LP 1469;50
Monroes ;Face another day;VG/VG;LP 1470;90
Richard Marx;Richard Marx;VG/VG;LP 1471;90
Various artists;The woman in red (soundtrack);VG-NM/VG-NM;LP 1472;50
Various artists;Buster (soundtrack);VG/VG;LP 1473;50
Jerry Lee Lewis;Great Balls of fire (soundtrack);VG/VG;LP 1474;50
Millie Jackson;Free and in love;VG/VG;LP 1475;180
Volbeat;Seal the deal & let´s boogie;VG-NM/VG-NM  (Linjer Sid 1B);LP 1476;320
Cars;Heartbeat City;G-VG/G-VG (Linjer Sid 1);LP 1477;50
Electric Light Orchestra;Balance of Power;VG/VG;LP 1478;120
Rolling Stones;Some Girl;VG/VG-NM;LP 1479;220
Rolling Stones;Still Life;VG/VG-NM;LP 1480;280
Kate Bush;The sensual World;G/VG;LP 1481;150
Aretha Franklin;Aretha;VG/VG;LP 1482;90
Paul Simon ;Graceland;VG/VG;LP 1483;120
New Kids on the Block;Step by step;VG-NM/VG;LP 1484;50
Elvis Presley;Platinum ;NY/OBRUTEN;LP 1485;250
Hooters;One way Home;VG/VG;LP 1486;150
Jethro Tull;Repeat – The best of Vol II;VG-NM/NM;LP 1487;150
Focus;At the rainbow;G- VG/VG-NM;LP 1488;180
Cher ;Heart of stone;VG/VG;LP 1489;150
Pink Floyd;A momentary Laps of Reason;VG/VG-NM;LP 1490;280
Madness;The Rise & Fall;VG/VG-NM;LP 1491;150
Frizzby Fox;Pretty Boys;VG/VG;LP 1492;50
Tymes;Trustmaker;VG/NM;LP 1493;50
John Miles;Transition;VG/VG-NM;LP 1494;50
John Miles;Play on;VG-NM/NM;LP 1495;90
Broken Home;Broken Home;VG/VG;LP 1496;90
Bryan Ferry;Lets stick together;VG/VG-NM;LP 1497;90
Kim Larsen ;Midt om natten;VG-NM/NM;LP 1498;120
Eurythmics ;Savage;VG/VG-NM;LP 1499;90
Beatles;Sgt Peppers …..;VG-NM/G-VG;LP 1500;180
Volbeat;Rewind Replay Rebound;NM/Mint;LP 1501;390
Mick Jagger;Shes the Boss;VG-NM/VG-NM;LP 1502;120
Pink Floyd;Relics;VG/VG-NM;LP 1503;220
Kate Bush;The Kick inside;VG/NM;LP 1504;150
Madness;Keep Moving;VG-NM/NM;LP 1505;90
Madness;The rise & Fall;VG/NM;LP 1506;150
Kate Bush;Lionheart;VG/VG-NM;LP 1507;150
Queen;Sheer Heart Attack;VG/VG-NM;LP 1508;690
Rolling Stones ;Aftermath;G-VG/VG;LP 1509;900
Elvis Presley;Rock and Roll;NY/OBRUTEN;LP 1510;150
Curtis Knight & The Squires;You cant use my name;NY/OBRUTEN;LP 1511;250
Saxon;Denim and Leather;VG/VG;LP 1512;90
U2;The Joshua Tree;VG/VG;LP 1513;150
Suzi Quattro;If you knew Suzi;VG/VG-NM;LP 1514;90
King Crimson;Starless and Bible Black;VG/VG;LP 1515;350
Flesh for Lulu;Long live the new flesh;NM/NM;LP 1516;150
Jon Anderson;Oilas of SunHillow;VG/NM;LP 1517;150
Meat Loaf;Blind before I stop;VG/NM;LP 1518;150
Nina Hagen Band;Nina Hagen Band;NM/NM;LP 1519;180
Bryan Adams;Run to You;VG/NM   “Maxi single 12”;LP 1520;150
Michael Jackson;BAD (PEPSI TOUR 1988);VG/VG-NM;LP 1521;180
Donovan;Donovan;VG/VG;LP 1522;90
Anne Linnet;Min Sang;VG/VG-NM;LP 1523;120
Tina Turner;Foreign affair;VG/VG;LP 1524;50
Earth Wind and Fire;The Collection;VG/NM;LP 1525;150
Kim Larsen ;Vaersgo;VG/NM;LP 1526;150
Communards;Communards;VG/VG;LP 1527;80
Boston;Boston;VG/VG-NM;LP 1528;120
Journey;Evolution;VG/VG-NM;LP 1529;120
Erasure;Circus;VG/VG;LP 1530;90
Night;Long Distance;VG/VG-NM;LP 1531;50
Eagles;Live at the Beacon Theatre 1974;NY/OBRUTEN;LP 1532;180
Phil Collins;Hello I must be going;VG/VG-NM;LP 1533;90
Meat Loaf;Dead Ringer;VG-NM/NM;LP 1534;120
Creedens Clearwater Revival;Green River;VG-NM/VG-NM;LP 1535;250
Wishbone Ash;Classic Ash;VG/G-VG;LP 1536;50
Neil Young;American Stars n Bars;NM/NM;LP 1537;220
Tin Machine;Tin Machine II;NY/OBRUTEN;LP 1538;320
David Bowie;Bowie Heroes in concert;NY/ OBRUTEN;LP 1539;320
Guns n´Roses;Use Your illusion I;NY/ OBRUTEN;LP 1540;390
Red Hot Chili Peppers;Californication;NY/ OBRUTEN;LP 1541;390
Rob Halford with Family and friends;Celestial;NM-MINT/NM-MINT;LP 1542;280
Ray Charles;The Great Ray Charles;NM/NM;LP 1543;120
Europe;Out of this world;VG-NM/VG-NM;LP 1544;120
Otis Redding;The dock of the bay;VG-NM/VG-NM;LP 1545;120
Hunter & Ronson;Y U I  Orta;NM/NM;LP 1546;120
Aerosmith;Rock in a hard place;VG-NM/VG-NM;LP 1547;120
Dio;Holy Diver;VG-NM/VG-NM;LP 1548;280
Jimi Hendrix;Are you experienced;VG-NM/VG-NM;LP 1549;250
Moody Blues;Question of Balance;VG-NM/VG-NM;LP 1550;120
Cat Stevens;Greatest Hits;VG-NM/VG-NM;LP 1551;120
Tears for fears;Everybody wants to rule the world;VG-NM/VG (EP  45rpm);LP 1552;50
Susanna Hoffs;When you´re a boy;NM/NM;LP 1553;90
Greatful Dead;Aoxomoxoa;NY/OBRUTEN;LP 1554;280
Motörhead;Bomber;NY/OBRUTEN;LP 1555;320
Y & T  live;Open fire;NM/MINT;LP 1556;150
Steeleye span;All arounf my hat;VG/VG-NM;LP 1557;50
Kreator;Violent revolution;Mint/Mint;LP 1558;450
Savage Rose;Dödens triumph;G/VG;LP 1559;120
Sally Oldfield;Playing the flame;VG/VG;LP 1560;80
Sally Oldfield;Water Bearer;VG/VG;LP 1561;80
Elton John;Don’t shoot me;VG/VG;LP 1562;90
George Michael;Faith;VG-NM/VG-NM;LP 1563;120
Bruce Springsteen;Born in the USA;VG-NM/VG-NM;LP 1564;120
Rolling Stones;Sucking in the Seventies;VG/VG;LLP1565;90
Joan Baez;Tournee Europeenne;NM/VG-NM;LLP1566;90
Rolling Stones;Goat Head Soup;NM/VG-NM;LLP1567;120
Rolling Stones;Under Cover;NM/G-VG;LLP1568;90
Doors;Morrison Hotel ;NM/VG-NM;LLP1569;180
Doors;Waiting for the sun;NM/VG-NM;LLP1570;180
Doors;The best of the Doors;NM/VG-NM;LLP1571;790
George Harrison;Cloud nine;NM/VG;LLP1572;150
Bob Dylan / The Band;Before the flood;NM/VG;LLP1573;180
Bob Dylan;New Morning;NM/NM;LLP1574;150
Bob Dylan;Johan Wesley Harding;VG/VG-NM;LLP1575;120
Bob Dylan;Dylan;NM/NM;LLP1576;150
Bob Dylan;Infidels;NM/NM;LLP1577;120
Bob Dylan;Shot of Love;G-VG/VG-NM;LLP1578;90
Bob Dylan;Slow train coming;NM/NM;LLP1579;120
Bob Dylan;Greatest Hits;NM/NM;LLP1580;120
Bob Dylan;Street legal;VG-NM/NM;LLP1581;120
Bob Dylan;Empire Burlesque;NM/NM;LLP1582;90
Bob Dylan;Under the red sky;NM/NM;LLP1583;180
Beatles ;Beatles´65;VG-NM/NM;LLP1584;210
Beatles;Please please me;NM/NM;LLP1585;250
Pink Floyd;The final cut;VG/VG-NM;LP 1586;280
Pink Floyd;The Wall;VG/VG-NM;LP 1587;390
Pink Floyd ;Relics;VG-NM/NM;LP 1588;180
Pink Floyd;Obscured by clouds;NM/NM;LP 1589;980
Pink Floyd;Animals;NM/NM;LP 1590;490
Pink Floyd;The dark side of the moon;NM/NM;LP 1591;980
Pink Floyd;Wish you were here;NM/NM;LP 1592;490
Pink Floyd;The Wall;NM/NM;LP 1593;690
Pink Floyd;Wish you were here;VG/VG-NM;LP 1594;280
Elvis Presley;60 golden hits;VG/VG-NM;LLP1595;180
Elvis;Romantic hits;VG/VG;LLP1596;50
Beatles ;Yellow Submarine;VG-NM/VG-NM;LLP1597;350
Elton John;Elton John;VG/VG-NM;LP 1598;150
Cat Stevens;Tea for the Tillerman;VG-NM/VG-NM;LP 1599;180
Animals;Animalisms;VG/VG;LP 1600;900
Band;The Band;G-VG/G-VG;LP 1601;180
Bob Marley & the Wailers;Exodus;VG/VG;LP 1602;180
Steve Miller Band;Fly like an eagle;VG/VG;LP 1603;90
Jimi Hendrix ;Isle of Wight;VG/G-VG;LP 1604;150
Doors;Waiting for the sun;G- /G-VG;LP 1605;120
Weather Report;Weather Report;VG/VG;LP 1606;180
Beatles;Abbey Road;VG/VG;LP 1607;220
Led Zeppelin;Led Zeppelin;Mint/Mint;LP 1608;320
Led Zeppelin;Houses of the holy;Ny/Ospelad;LP 1609;490
Led Zeppelin;Physical Grafitti;Ny/Ospelad;LP 1610;990
Led Zeppelin;Presence;Ny/Ospelad;LP 1611;390
Led Zeppelin ;In through the out door;Ny/Ospelad;LP 1612;390
Led Zeppelin;Coda;Ny/Ospelad;LP 1613;390
Deep Purple;In Rock;Mint/MInt;LP 1614;350
Deep Purple;Fireball;Ny/Ospelad;LP 1615;390
Deep Purple;Machine Head;Mint/Mint;LP 1616;350
Deep Purple;Who do we think we are;Ny/Ospelad;LP 1617;390
John Fogerty;Centerfield;NM/VG-NM;LP 1618;120
Beatles ;Revolver;VG/G-VG;LP 1619;350
Barbra Streisand;Guilty;VG/VG-NM;LP 1620;90
Bee Gees m.fl;Saturday night fever;VG/NM;LP 1622;120
Beatles Abbey Road;Abbey Road;VG/VG;LP 1623;180
Barry White;Barry Whites Greatest Hits;VG/VG;LP 1624;50
David Bowie;Changes TWO;VG/VG-NM;LP 1625;150
WHO;Who´s next;VG/VG;LP 1626;150
Genesis;Duke;VG/G-VG;LP 1627;80
Emerson, Lake and Palmer;Brain Salad Surgery;VG-NM/VG-NM;LP 1628;150
Fleetwood Mac;Rumors;VG/VG-NM;LP 1629;250
Ten Years After;Positive Vibrations;VG/VG-NM;LP 1630;150
Wishbone Ash;Pilgrimage;VG-NM/NM;LP 1631;350
Steve Miller Band;Brave New World;G-VG/VG-NM;LP 1632;120
Bruce Springsteen;Born to run;VG/VG-NM;LP 1633;180
Bruce Springsteen;Tunnel of Love;VG-NM/NM;LP 1634;180
Elvis Presley;Greatest Hits 7 LP Box;VG/NM-MINT;LP 1635;380
David Bowie;Low;VG-NM/NM;LP 1636;280
Depeche Mode;Some Great REWARD;VG/VG-NM;LP 1637;280
Tangerine Dream;Optical Race;VG/VG;LP 1638;120
Tangerine Dream;Rubycon;VG/-VG-NM;LP 1639;180
Tangerine Dream;Sorcerer (Soundtrack);VG/VG-NM;LP 1640;180
Kitaro;Silk Road (Soundtrack);VG/VG-NM;LP 1641;80
Roger Eno;Voices;VG/VG;LP 1642;120
Rubettes;We can do it;G-VG/VG;LP 1643;150
Iggy and The Stooges;Raw Power;VG-NM/NM;LP 1644;490
The Stooges;Rubber legs;VG-G;LP 1645;180
Richard Thompson;Daring Adventures;VG-NM/VG-NM;LP 1646;80
Culture Club;Colour by numbers;VG/VG;LP 1647;80
Culture Club;From Luxury to Heartache;VG-NM/VG-NM;LP 1648;80
Gasolin;Gör det noget;VG-NM/VG-NM;LP 1649;180
Gasolin;Live i Skandinavien;VG/VG-NM;LP 1650;150
Gasolin;Sådan (Live);VG/VG-NM;LP 1651;210
Ghostbusters;Original Soundtrack;VG/VG;LP 1652;120
Live and let die;Original Soundtrack;VG/VG;LP 1653;80
Elvis Presley;Forever;VG/VG-NM;LP 1654;80
New Birth;Blind baby;VG/VG-NM;LP 1655;50
Jimi Hendrix;Faces & Places;VG/VG-NM;LP 1656;220
Simon and Garfunkel;The concert in central park;G/VG-NM;LP 1657;220
Sailor;The Third step;G-VG/VG-NM;LP 1658;80
Sailor;Hideaway;G-VG/VG-NM;LP 1659;80
Sailor ;Trouble;G-VG/VG-NM;LP 1660;80
Sailor;Sailor;G-VG/VG-NM;LP 1661;120
Sailor;Checkpoint;G/VG-NM;LP 1662;80
Pretenders;Pretenders;VG/VG-NM;LP 1663;120
Bow Wow Wow;When the going gets tough …;VG-NM/VG-NM;LP 1664;80
Electric Light Orchestra;On the third day ;VG-NM/VG-NM;LP 1665;150
Electric Light Orchestra;Face the music;VG-NM/VG-NM;LP 1666;150
Michael Jackson;Bad;Ny/Oöppnad  (2009);LP 1667;1500
Velvet Underground And Nico;Velvet Underground And Nico;G/VG-NM (1072);LP 1668;1200
Tourists;Reality Effect;VG/VG;LP 1669;80
Fleetwood Mac & Christine Perfect;Albatross;VG-NM/NM;LP 1670;120
Nena;Nena;VG/VG-NM;LP 1671;80
Hurriganes;10/80;VG/VG;LP 1672;150
Kim Wilde;Kim Wilde;VG/VG;LP 1673;80
Bruce Springsteen;The wild, the innocent & the E street shuffle;G-VG/VG-NM;LP 1674;120
Ray Charles;The world of Ray Charles;G-VG/VG;LP 1675;80
